,Unnamed: 0,intra,extra,az,el,rot_pos,x,y,z,u,v,w,m1_pressure,dz,zern_defocus_nm,zern_xastig_nm,zern_yastig_nm,zern_xcoma_nm,zern_ycoma_nm,zern_xtrefoil_nm,zern_ytrefoil_nm,zern_sphereical_nm
0,0,AT_O_20200218_000167.fits,AT_O_20200218_000168.fits,170.5799855261075,64.50806038907908,59.11445017570893,-5.444468975067139,0.9130426049232484,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113614.71976618616,0.8,12.366351391818059,1.9635868610835838,-11.443696088792283,40.33323781147938,-67.10799450458931,36.15852304841458,-35.876717204345745,17.396917964686693
1,1,AT_O_20200218_000169.fits,AT_O_20200218_000170.fits,172.4787345248951,64.69443047382143,61.66493011868153,-5.446218967437744,1.211675763130188,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113764.73260835797,0.8,-10.66799435080984,3.8040686911117163,-18.13692476339517,51.28908082280743,-26.428797338061216,63.511956565841416,-28.72136079425418,24.352588579976118
2,2,AT_O_20200218_000171.fits,AT_O_20200218_000172.fits,173.04323748699693,64.74320718877114,63.087051484028514,-5.446631908416748,1.5113528966903689,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113846.62410505993,0.8,-21.432915840910216,-2.9369658670596097,-43.49419152585395,48.55048617625863,29.82042723882346,51.3310915096504,-29.95910790280519,21.659924445191546
3,3,AT_O_20200218_000173.fits,AT_O_20200218_000174.fits,173.6342188526659,64.78766625250864,62.13737661445177,-5.447021007537842,1.811049222946167,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113901.38951067242,0.8,-23.614911658192582,17.726792186146312,-14.062784588767178,73.169166311485,95.43833198316474,33.915179317359815,-27.737113129599468,19.452331630455344
4,4,AT_O_20200218_000175.fits,AT_O_20200218_000176.fits,174.20018175054562,64.82633095536688,61.23311285799297,-5.44736385345459,2.110781192779541,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,113946.82834850492,0.8,0.5140588702187064,27.13339463908699,14.547694094552917,83.9854118713708,137.76460592540715,24.11920859370865,-32.48227169930216,8.847944145550203
5,5,AT_O_20200218_000177.fits,AT_O_20200218_000178.fits,175.03914152108882,64.87669394254466,59.9060604148684,-5.447799682617188,0.6104409694671631,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114030.05885969926,0.8,53.15363362103565,23.670124989839042,24.026761049826625,56.047430861152414,-79.95833705857483,27.016336409791947,-31.669336911046447,6.420318268172917
6,6,AT_O_20200218_000181.fits,AT_O_20200218_000182.fits,176.21005081709262,64.93331277986208,58.060580803801955,-5.448286056518555,0.31006088852882385,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114067.65177133787,0.8,101.50468158015823,43.1409983707901,53.459084709155796,43.93677482534681,-127.71115037621544,23.659810503601356,-35.37026930953632,0.7966908926898246
7,7,AT_O_20200218_000184.fits,AT_O_20200218_000185.fits,177.13599637299004,64.96656115788991,56.61852045361789,-5.448561191558838,0.00984599068760872,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114060.46455116724,0.8,153.08034663964102,33.97808624928605,101.96107272632645,40.43199745557855,-175.629936401406,34.33057028118802,-29.309529222832808,-1.9893277746019464
8,8,AT_O_20200218_000187.fits,AT_O_20200218_000188.fits,177.85999599698704,64.98455976722046,55.50008562234568,-5.448698043823242,-0.2902609705924988,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114086.0831065877,0.8,166.67805889097653,62.802746395546365,95.63325620023396,28.20673325407267,-223.13918719417032,31.443714796671568,-35.87381104584005,-3.9542155927706566
9,9,AT_O_20200218_000190.fits,AT_O_20200218_000191.fits,178.96794524279656,65.00332581270176,59.54940903914486,-5.4488630294799805,0.9096100330352784,-0.5028411746025085,0.3499999940395355,0.3499999940395355,0.0,114076.08105149044,0.8,151.33223472664227,20.11214550803675,93.65506600386168,64.69231855994677,-24.315091752335686,47.49592190876641,-25.218386106674576,-3.5224868048178783
