,intra,extra,az,el,rot_pos,x,y,z,u,v,w
0,1578531387-HIP25531_intra-0-1.fits,1578531410-HIP25531_extra-0-1.fits,78.53435196065435,60.92252096544342,-16.39188423892483,-4.3,1.2,0.5,0.35,0.35,0.0
1,1578531549-HIP25531-0-1.fits,1578531579-HIP25531-0-1.fits,77.94976867129608,61.52488464061117,-15.531191977881024,-4.29999921322,1.19999866188,0.5000015551899999,0.3500006508,0.3500006508,0.0
2,1578532646-HIP25531-0-1.fits,1578532669-HIP25531-0-1.fits,73.75123270792216,65.33968395863117,-9.58440602639718,-4.29999921322,1.19999866188,0.5600015551899999,0.3500006508,0.3500006508,0.0
3,1578532897-HIP25531-0-1.fits,1578532920-HIP25531-0-1.fits,72.6479733337348,66.20606561320479,-8.08566468230178,-4.29999921322,1.19999866188,0.56800155519,0.3500006508,0.3500006508,0.0
4,1578533133-HIP25531-0-1.fits,1578533156-HIP25531-0-1.fits,71.54836022121563,67.019146822562,-6.616121806617495,-4.29999921322,1.19999866188,0.56800155519,0.3500006508,0.3500006508,0.0
5,1578533524-HIP25531-0-1.fits,1578533547-HIP25531-0-1.fits,69.5931259703532,68.34980876821663,-4.059156372170037,-4.29999921322,1.19999866188,0.56800155519,0.3500006508,0.3500006508,0.0
6,1578533874-HIP25531-0-1.fits,1578533912-HIP25531-0-1.fits,67.53479757271673,69.60617689122599,-1.4384798031468147,-4.29999921322,1.19999866188,0.56800155519,0.3500006508,0.3500006508,0.0
7,1578534435-HIP25531-0-1.fits,1578534473-HIP25531-0-1.fits,64.02870617651686,71.45237320415349,2.8784111591887567,-4.29999921322,1.19999866188,0.56400155519,0.3500006508,0.3500006508,0.0
8,1578534913-10Lep-0-1.fits,1578534957-10Lep-0-1.fits,61.95346131865824,72.29817158097418,126.65359936453231,-4.29999921322,1.19999866188,0.56400155519,0.3500006508,0.3500006508,0.0
9,1578535411-10Lep-0-1.fits,1578535439-10Lep-0-1.fits,58.13096237574358,73.8006835376828,-10.722362936899794,-4.29999921322,1.19999866188,0.56400155519,0.3500006508,0.3500006508,0.0
10,1578535681-10Lep-0-1.fits,1578535709-10Lep-0-1.fits,55.70125027424334,74.61737951789982,-7.968669518558799,-4.29999921322,1.19999866188,0.5340015551900001,0.3500006508,0.3500006508,0.0
11,1578536657-10Lep-0-1.fits,1578536685-10Lep-0-1.fits,44.669851013637015,77.3429312680376,-2.465919179647712,-4.29999921322,1.19999866188,0.5340015551900001,0.3500006508,0.3500006508,0.0
12,1578537429-10Lep-0-1.fits,1578537457-10Lep-0-1.fits,32.73892310897728,79.08510226277104,6.930799052275688,-4.29999921322,1.69999866188,0.5340015551900001,0.3500006508,0.3500006508,0.0
13,1578537953-10Lep-0-1.fits,1578537981-10Lep-0-1.fits,22.627418329506025,79.98096439268723,-5.436220021452907,-4.29999921322,0.69999866188,0.5340015551900001,0.3500006508,0.3500006508,0.0
14,1578538341-10Lep-0-1.fits,1578538368-10Lep-0-1.fits,14.177501467921237,80.42925479463509,2.760481556905972,-4.29999921322,0.19999866188000004,0.5340015551900001,0.3500006508,0.3500006508,0.0
15,1578538650-10Lep-0-1.fits,1578538678-10Lep-0-1.fits,7.018851686953455,80.63676505351735,-11.337318034555953,-4.29999921322,0.19999866188000004,0.5340015551900001,0.3500006508,0.3500006508,0.0
16,1578538901-10Lep-0-1.fits,1578538929-10Lep-0-1.fits,1.0112358907097825,80.70284457279891,-5.719808446344478,-4.29999921322,-0.30000133811999996,0.5340015551900001,0.3500006508,0.3500006508,0.0
17,1578539137-10Lep-0-1.fits,1578539165-10Lep-0-1.fits,-4.625994441554967,80.67873810999464,-0.5335478725342601,-4.29999921322,0.19999866188000004,0.5340015551900001,0.3500006508,0.3500006508,0.0
18,1578539403-10Lep-0-1.fits,1578539431-10Lep-0-1.fits,-10.87323270873348,80.55277406240211,5.107228185224969,-4.29999921322,0.19999866188000004,0.48500155519,0.3500006508,0.3500006508,0.0
19,1578540108-10Lep-0-1.fits,1578540136-10Lep-0-1.fits,-26.199318662709707,79.74315916684091,-1.3569852169028942,-4.29999921322,0.19999866188000004,0.48500155519,0.3500006508,0.3500006508,0.0
20,1578540468-10Lep-0-1.fits,1578540496-10Lep-0-1.fits,-32.952453685285064,79.10507222369466,4.103631811124312,-4.29999921322,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
21,1578540753-10Lep-0-1.fits,1578540781-10Lep-0-1.fits,-37.728471569639616,78.51603507926036,7.77537963433427,-4.24999921322,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
22,1578540963-10Lep-0-1.fits,1578540991-10Lep-0-1.fits,-41.04082415104004,78.02630237040982,-7.776769296974754,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
23,1578541220-10Lep-0-1.fits,1578541248-10Lep-0-1.fits,-44.682112725538566,77.39696164404599,-5.2008542576381425,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
24,1578541566-nuLep-0-1.fits,1578541594-nuLep-0-1.fits,-38.33803195999769,68.11557428523966,-16.948200768174797,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
25,1578541863-nuLep-0-1.fits,1578541891-nuLep-0-1.fits,-40.96710031444469,67.43492081314022,-15.460346712354665,-4.849999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
26,1578542143-HIP24493-0-1.fits,1578542171-HIP24493-0-1.fits,-32.94732724053323,56.90807401162506,-7.011414011317608,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
27,1578546616-L_Vel-0-1.fits,1578546644-L_Vel-0-1.fits,142.96110603949293,60.148036753036145,-2.953207930603836,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
28,1578546849-L_Vel-0-1.fits,1578546877-L_Vel-0-1.fits,143.6622865323094,60.65315736431231,-3.8240456736297035,-4.349999213219999,0.44999866188000004,0.5300015551900001,0.3500006508,0.3500006508,0.0
29,1578547083-L_Vel-0-1.fits,1578547111-L_Vel-0-1.fits,144.39286664224548,61.147133713705465,-4.729839871310879,-4.349999213219999,0.19999866188000004,0.5300015551900001,0.3500006508,0.3500006508,0.0
30,1578547480-L_Vel-0-1.fits,1578547507-L_Vel-0-1.fits,145.73577443003617,61.976959447815695,-63.21832057141232,-4.349999213219999,0.19999866188000004,0.5300015551900001,0.3500006508,0.3500006508,0.0
31,1578547813-L_Vel-0-1.fits,1578547841-L_Vel-0-1.fits,146.89759493926263,62.620194412244295,-70.19575540512464,-4.54999921322,0.19999866188000004,0.5300015551900001,0.3500006508,0.3500006508,0.0
32,1578548066-L_Vel-0-1.fits,1578548094-L_Vel-0-1.fits,147.88462869755634,63.122681855528725,-71.41619266868727,-4.79999921322,0.19999866188000004,0.5300015551900001,0.3500006508,0.3500006508,0.0
33,1578548373-L_Vel-0-1.fits,1578548401-L_Vel-0-1.fits,149.11987809096547,63.69170231717718,-72.9452148306857,-5.149999213219999,0.19999866188000004,0.5300015551900001,0.3500006508,0.3500006508,0.0
34,1578548948-n_Vel-0-1.fits,1578548976-n_Vel-0-1.fits,167.10397206659843,72.37907635260949,104.81884599749269,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
35,1578549286-n_Vel-0-1.fits,1578549333-n_Vel-0-1.fits,170.27445702667663,72.61797455064529,101.03988753009055,-5.149999213219999,0.19999866188000004,0.5300015551900001,0.3500006508,0.3500006508,0.0
36,1578549581-n_Vel-0-1.fits,1578549609-n_Vel-0-1.fits,172.9552888847688,72.76682549129542,97.75734992258776,-5.149999213219999,0.19999866188000004,0.51500155519,0.3500006508,0.3500006508,0.0
37,1578549843-n_Vel-0-1.fits,1578549870-n_Vel-0-1.fits,175.37184056427776,72.85868109747162,94.66148274433934,-5.149999213219999,0.19999866188000004,0.5450015551899999,0.3500006508,0.3500006508,0.0
38,1578550018-n_Vel-0-1.fits,1578550045-n_Vel-0-1.fits,177.03794972722824,72.89898008621337,92.57203729276925,-5.149999213219999,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
